,agent_gender,agent_year_of_birth,footfall,staypoint_planningarea,datetime
444,F,1949,40,AM,21/2/2018 21:00
1482,F,1950,40,AM,21/2/2018 21:00
1487,F,1951,40,AM,21/2/2018 21:00
1552,F,1952,40,AM,21/2/2018 21:00
1650,F,1953,40,AM,21/2/2018 21:00
1652,F,1954,40,AM,21/2/2018 21:00
1653,F,1955,40,AM,21/2/2018 21:00
1721,F,1957,40,AM,21/2/2018 21:00
1873,F,1996,40,AM,21/2/2018 21:00
2321,F,1997,40,AM,21/2/2018 21:00
2445,F,1998,40,AM,21/2/2018 21:00
2532,F,1999,40,AM,21/2/2018 21:00
2657,F,2000,40,AM,21/2/2018 21:00
2660,F,2001,40,AM,21/2/2018 21:00
2762,F,2002,40,AM,21/2/2018 21:00
2884,F,2003,40,AM,21/2/2018 21:00
2981,F,2004,40,AM,21/2/2018 21:00
3205,F,2005,40,AM,21/2/2018 21:00
3771,M,1929,40,AM,21/2/2018 21:00
3865,M,1937,40,AM,21/2/2018 21:00
3935,M,1938,40,AM,21/2/2018 21:00
4095,M,1940,40,AM,21/2/2018 21:00
4229,M,1941,40,AM,21/2/2018 21:00
107,M,1942,40,AM,21/2/2018 21:00
155,M,1943,40,AM,21/2/2018 21:00
439,M,1944,40,AM,21/2/2018 21:00
1711,M,1945,40,AM,21/2/2018 21:00
1877,M,1946,40,AM,21/2/2018 21:00
1993,M,1947,40,AM,21/2/2018 21:00
2017,M,1948,40,AM,21/2/2018 21:00
2655,M,1949,40,AM,21/2/2018 21:00
2661,M,1950,40,AM,21/2/2018 21:00
2759,M,1951,40,AM,21/2/2018 21:00
2972,M,1952,40,AM,21/2/2018 21:00
2980,M,1953,40,AM,21/2/2018 21:00
3033,M,1996,40,AM,21/2/2018 21:00
3185,M,1997,40,AM,21/2/2018 21:00
3322,M,1998,40,AM,21/2/2018 21:00
3761,M,1999,40,AM,21/2/2018 21:00
3762,M,2000,40,AM,21/2/2018 21:00
3932,M,2001,40,AM,21/2/2018 21:00
3983,M,2002,40,AM,21/2/2018 21:00
